dis,phi,reg_phi,raw_kdp,reg_kdp,kdp_lsf
13.5,61.22,59.465,1.7,6.379629629629704,2.4781878306878413
13.575,57.71,59.465,1.7,0.283333333333303,2.6313095238095165
13.65,59.55,59.55,1.7,5.950000000000102,3.0710449735449847
13.725,61.88,61.25,1.7,5.666666666666771,3.346600529100522
13.8,60.62,61.25,1.9,1.0555555555555998,3.45797619047621
13.875,62.19,61.56666666666666,1.9,1.055555555555543,3.4160052910052894
13.95,63.67,61.56666666666666,1.6,-2.842170943040401e-14,3.208306878306904
14.025,58.84,61.56666666666666,1.5,1.7111111111111654,2.8348809523809644
14.1,62.08,62.08,1.8,9.599999999999795,2.660277777777781
14.175,65.77,64.44666666666666,1.8,7.888888888888658,2.3655158730158834
14.25,66.25,64.44666666666666,1.8,0.0,1.966785714285727
14.325,61.32,64.44666666666666,1.4,0.21666666666669698,1.8744940476190568
14.4,68.26,64.51166666666667,1.4,0.2166666666667254,1.6901488095238086
14.475,63.49,64.51166666666667,1.4,-2.842170943040401e-14,1.4740674603174675
14.55,63.1,64.51166666666667,1.3,2.842170943040401e-14,1.173472222222227
14.625,64.28,64.51166666666667,1.3,0.0,0.7883630952380966
14.7,63.46,64.51166666666667,1.3,-2.842170943040401e-14,0.4165178571428574
14.775,64.48,64.51166666666667,1.2,2.0152777777778113,0.4231746031745955
14.85,66.96,65.11625,1.2,2.015277777777783,0.4138888888888928
14.925,63.38,65.11625,1.2,0.0,0.6192857142857063
15.0,65.46,65.11625,1.2,0.0,0.8131746031746035
15.075,65.96,65.11625,1.1,0.0,1.0172619047618985
15.15,65.98,65.11625,1.1,0.0,1.1617063492063373
15.225,64.92,65.11625,1.1,0.0,1.2465079365079368
15.3,64.81,65.11625,1.0,0.0,1.3122222222222213
15.375,63.46,65.11625,1.0,4.61250000000004,1.317699999999978
15.45,66.5,66.5,1.0,5.112500000000097,1.3721571428571397
15.525,66.65,66.65,1.0,1.722222222222257,1.3748297619047634
15.6,69.18,67.01666666666667,0.9,1.2222222222222001,1.3257178571428374
15.675,65.57,67.01666666666667,0.9,2.842170943040401e-14,1.2248214285714187
15.75,66.3,67.01666666666667,0.9,0.8111111111111313,1.0721404761904647
15.825,67.26,67.26,0.9,0.915111111111031,0.8676749999999878
15.9,68.02,67.29119999999998,0.8,0.10399999999992815,0.6114249999999912
15.975,66.99,67.29119999999998,0.8,-2.842170943040401e-14,0.3033904761904473
16.05,70.6,67.29119999999998,0.8,2.842170943040401e-14,0.2071428571428547
16.125,68.1,67.29119999999998,0.8,0.0,0.12062857142856419
16.2,69.3,67.29119999999998,0.7,0.0,0.08868888888887769
16.275,70.37,67.29119999999998,0.7,2.842170943040401e-14,0.050212698412697224
16.35,70.8,67.29119999999998,0.7,-2.842170943040401e-14,0.0051999999999887666
16.425,68.76,67.29119999999998,0.7,0.0,0.0
16.5,68.55,67.29119999999998,0.7,0.0,0.0
16.575,67.4,67.29119999999998,0.6,0.0,0.0
16.65,67.83,67.29119999999998,0.6,2.842170943040401e-14,0.0
16.725,69.66,67.29119999999998,0.6,-2.842170943040401e-14,0.0
16.8,69.79,67.29119999999998,0.6,0.0,0.0
16.875,69.87,67.29119999999998,0.6,0.0,9.565406087927722e-15
16.95,67.48,67.29119999999998,0.5,0.0,0.0
17.025,71.04,67.29119999999998,0.5,2.842170943040401e-14,0.0
17.1,68.35,67.29119999999998,0.5,-2.842170943040401e-14,4.290723164091434e-15
17.175,70.8,67.29119999999998,0.5,0.0,0.0
17.25,66.17,67.29119999999998,0.5,0.0,5.5294534706256836e-15
17.325,67.86,67.29119999999998,0.5,0.0,0.0
17.4,70.58,67.29119999999998,0.5,2.842170943040401e-14,5.903479471069301e-15
17.475,66.49,67.29119999999998,0.4,-2.842170943040401e-14,0.0
17.55,66.19,67.29119999999998,0.4,0.0,9.61570799797943e-15
17.625,66.52,67.29119999999998,0.4,0.0,0.0
17.7,67.68,67.29119999999998,0.4,0.0,0.0
17.775,68.65,67.29119999999998,0.4,2.842170943040401e-14,0.0
17.85,67.31,67.29119999999998,0.4,-2.842170943040401e-14,7.398902468814302e-15
17.925,63.82,67.29119999999998,0.4,0.0,1.1870593929138068e-14
18.0,65.88,67.29119999999998,0.4,0.0,1.548978168202081e-14
18.075,66.59,67.29119999999998,0.3,0.0,6.90089474144507e-15
18.15,65.8,67.29119999999998,0.3,2.842170943040401e-14,8.489420165013494e-15
18.225,64.3,67.29119999999998,0.3,-2.842170943040401e-14,4.025950163268432e-15
18.3,68.21,67.29119999999998,0.3,0.0,1.2830257759392672e-14
18.375,64.68,67.29119999999998,0.3,0.0,0.0
18.45,71.87,67.29119999999998,0.3,0.0,2.386121065907839e-15
18.525,66.78,67.29119999999998,0.3,2.842170943040401e-14,5.1490045047754734e-15
18.6,61.34,67.29119999999998,0.3,-2.842170943040401e-14,0.0
18.675,63.17,67.29119999999998,0.3,0.0,7.857937749255151e-16
18.75,62.81,67.29119999999998,0.3,0.0,0.0
18.825,68.26,67.29119999999998,0.3,0.0,0.0
18.9,63.68,67.29119999999998,0.3,2.842170943040401e-14,0.0
18.975,65.57,67.29119999999998,0.3,-2.842170943040401e-14,8.893798803540374e-15
19.05,64.42,67.29119999999998,0.3,0.0,1.925824781677144e-15
19.125,65.98,67.29119999999998,0.3,0.0,0.06771666666666284
19.2,67.69,67.29119999999998,0.3,0.0,0.12575952380952896
19.275,70.24,67.29119999999998,0.3,2.842170943040401e-14,0.174128571428581
19.35,65.64,67.29119999999998,0.2,-2.842170943040401e-14,0.21282380952382746
19.425,68.11,67.29119999999998,0.2,0.0,0.26837301587303236
19.5,62.86,67.29119999999998,0.2,0.0,0.31045873015874514
19.575,65.7,67.29119999999998,0.2,1.354333333333443,0.33908095238096514
19.65,68.62,67.6975,0.2,1.3543333333334715,0.39979523809525563
19.725,67.59,67.6975,0.2,0.0,0.5040229437229558
19.8,66.91,67.6975,0.3,0.0,0.5792099567099663
19.875,67.67,67.6975,0.3,0.5305555555555657,0.6253562770562996
19.95,68.4,67.85666666666667,0.3,0.5305555555555657,0.6424619047619201
20.025,68.18,67.85666666666667,0.3,2.842170943040401e-14,0.630526839826849
20.1,66.99,67.85666666666667,0.3,0.9111111111110972,0.589551082251091
20.175,68.13,68.13,0.3,2.180808080808106,0.5195346320346309
20.25,69.81,68.5109090909091,0.3,1.2696969696970086,0.49786796536796557
20.325,68.56,68.5109090909091,0.3,0.0,0.4568344155844271
20.4,67.97,68.5109090909091,0.3,0.0,0.396433982683979
20.475,70.24,68.5109090909091,0.3,0.0,0.3166666666666612
20.55,67.95,68.5109090909091,0.3,0.0,0.37358382936508516
20.625,67.87,68.5109090909091,0.3,0.0,0.3969618055555642
