dis_mid,raw_kdp_abs_diff,reg_kdp_abs_diff,kdp_lsf_abs_diff
10.6125,0.0,0.5000000000000568,0.12637755102038417
10.6875,0.0,2.7977620220553945e-14,0.012814625850325001
10.7625,0.10000000000000009,3.5833333333334,0.15200680272109146
10.8375,0.0,4.466666666666697,0.2394260204081684
10.9125,0.10000000000000009,0.966666666666697,0.024430272108847184
10.9875,0.0,3.3083333333333655,0.1905654761904696
11.0625,0.10000000000000009,0.9666666666666683,0.04964285714286465
11.1375,0.09999999999999964,1.15833333333336,0.0439583333333351
11.2125,0.0,0.0,0.192440476190487
11.2875,0.10000000000000009,10.6124999999997,0.13616071428571264
11.3625,0.10000000000000009,0.0,0.25904761904760853
11.4375,0.0,10.6124999999997,0.2604761904761892
11.5125,0.10000000000000009,0.0,0.06035714285712768
11.5875,0.19999999999999973,0.0,0.02214285714284392
11.6625,0.0,0.0,0.0580357142857304
11.7375,0.0,0.0,0.18470238095236802
11.8125,0.10000000000000009,0.0,0.3113690476190356
11.8875,0.0,2.429166666666731,0.43803571428572274
11.9625,0.0,4.116666666666674,0.2171428571428724
12.0375,0.0,2.429166666666645,0.26455357142854585
12.1125,0.0,3.5416666666667433,0.17101190476192163
12.1875,0.0,0.0,0.07747023809524123
12.2625,0.0,0.575000000000017,0.04411375661375727
12.3375,0.0,0.0,0.058025793650811064
12.4125,0.10000000000000009,3.5083333333332405,0.1601653439153381
12.4875,0.0,2.466666666666697,0.2623048941798938
12.5625,0.0,3.5083333333332405,0.2256349206349122
12.6375,0.0,2.466666666666697,0.07518518518519923
12.7125,0.0,1.2037037037037237,0.13056878306878272
12.7875,0.0,2.8199664825478976e-14,0.15309523809524261
12.8625,0.10000000000000009,1.203703703703752,0.20437169312169245
12.9375,0.0,0.0,0.06333333333334312
13.0125,0.0,0.0,0.03351190476190902
13.0875,0.0,0.0,0.08428571428572273
13.1625,0.09999999999999987,0.0,0.43476190476190046
13.2375,0.0,0.0,0.33809523809523956
13.3125,0.0,0.0,0.2942063492063547
13.3875,0.0,6.379629629629761,0.25878306878306834
13.4625,0.10000000000000009,5.684341886080802e-14,0.16317460317460553
13.5375,0.0,6.096296296296401,0.15312169312167523
13.6125,0.0,5.666666666666799,0.4397354497354682
13.6875,0.0,0.28333333333333144,0.27555555555553735
13.7625,0.19999999999999996,4.611111111111171,0.11137566137568777
13.8375,0.0,5.684341886080802e-14,0.041970899470920475
13.9125,0.2999999999999998,1.0555555555555713,0.2076984126983854
13.9875,0.10000000000000009,1.7111111111111938,0.3734259259259396
14.0625,0.30000000000000004,7.88888888888863,0.1746031746031833
14.1375,0.0,1.711111111111137,0.2947619047618977
14.2125,0.0,7.888888888888658,0.3987301587301564
14.2875,0.40000000000000013,0.2166666666666969,0.09229166666667021
14.3625,0.0,2.8504976157250894e-14,0.18434523809524817
14.4375,0.0,0.21666666666675383,0.21608134920634114
14.5125,0.09999999999999987,5.684341886080803e-14,0.3005952380952406
14.5875,0.0,2.8421709430404014e-14,0.38510912698413036
14.6625,0.0,2.8421709430404014e-14,0.3718452380952392
14.7375,0.10000000000000009,2.01527777777784,0.006656746031738103
14.8125,0.0,2.886579864025407e-14,0.009285714285702684
14.8875,0.0,2.015277777777783,0.20539682539681353
14.9625,0.0,0.0,0.19388888888889722
15.0375,0.09999999999999987,0.0,0.20408730158729493
15.1125,0.0,0.0,0.14444444444443882
15.1875,0.0,0.0,0.08480158730159948
15.2625,0.10000000000000009,0.0,0.0657142857142845
15.3375,0.0,4.61250000000004,0.00547777777775682
15.4125,0.0,0.5000000000000568,0.05445714285716141
15.4875,0.0,3.3902777777778397,0.0026726190476238365
15.5625,0.09999999999999998,0.5000000000000571,0.04911190476192595
15.6375,0.0,1.2222222222221715,0.10089642857141867
15.7125,0.0,0.8111111111111029,0.15268095238095403
15.7875,0.0,0.10399999999989973,0.20446547619047695
15.8625,0.09999999999999998,0.8111111111111029,0.25624999999999654
15.9375,0.0,0.10399999999995652,0.30803452380954394
16.0125,0.0,5.684341886080803e-14,0.09624761904759258
16.0875,0.0,2.8421709430404014e-14,0.08651428571429061
16.1625,0.10000000000000009,0.0,0.0319396825396865
16.237499999999997,0.0,2.8421709430404014e-14,0.0384761904761804
16.3125,0.0,5.684341886080803e-14,0.0450126984127085
16.387500000000003,0.0,2.8421709430404014e-14,0.0051999999999887
16.4625,0.0,0.0,0.0
16.5375,0.09999999999999998,0.0,0.0
16.612499999999997,0.0,2.8421709430404014e-14,0.0
16.6875,0.0,5.684341886080803e-14,0.0
16.762500000000003,0.0,2.8421709430404014e-14,0.0
16.8375,0.0,0.0,9.565406087927722e-15
16.9125,0.09999999999999998,0.0,9.565406087927722e-15
16.987499999999997,0.0,2.8421709430404014e-14,0.0
17.0625,0.0,5.684341886080803e-14,4.290723164091434e-15
17.137500000000003,0.0,2.8421709430404014e-14,4.290723164091434e-15
17.2125,0.0,0.0,5.529453470625684e-15
17.2875,0.0,0.0,5.529453470625684e-15
17.362499999999997,0.0,2.8421709430404014e-14,5.9034794710693005e-15
17.4375,0.09999999999999998,5.684341886080803e-14,5.9034794710693005e-15
17.512500000000003,0.0,2.8421709430404014e-14,9.615707997979431e-15
17.5875,0.0,0.0,9.615707997979431e-15
17.6625,0.0,0.0,0.0
17.737499999999997,0.0,2.8421709430404014e-14,0.0
17.8125,0.0,5.684341886080803e-14,7.398902468814302e-15
17.887500000000003,0.0,2.8421709430404014e-14,4.471691460323766e-15
17.9625,0.0,0.0,3.619187752882745e-15
18.0375,0.10000000000000003,0.0,8.588886940575742e-15
18.112499999999997,0.0,2.8421709430404014e-14,1.5885254235684232e-15
18.1875,0.0,5.684341886080803e-14,4.463470001745062e-15
18.262500000000003,0.0,2.8421709430404014e-14,8.80430759612424e-15
18.3375,0.0,0.0,1.2830257759392672e-14
18.4125,0.0,0.0,2.386121065907839e-15
18.487499999999997,0.0,2.8421709430404014e-14,2.7628834388676346e-15
18.5625,0.0,5.684341886080803e-14,5.1490045047754734e-15
18.637500000000003,0.0,2.8421709430404014e-14,7.857937749255152e-16
18.7125,0.0,0.0,7.857937749255152e-16
18.7875,0.0,0.0,0.0
18.862499999999997,0.0,2.8421709430404014e-14,0.0
18.9375,0.0,5.684341886080803e-14,8.893798803540374e-15
19.012500000000003,0.0,2.8421709430404014e-14,6.967974021863231e-15
19.0875,0.0,0.0,0.06771666666666087
19.1625,0.0,0.0,0.0580428571428661
19.237499999999997,0.0,2.8421709430404014e-14,0.048369047619052113
19.3125,0.09999999999999998,5.684341886080803e-14,0.03869523809524639
19.387500000000003,0.0,2.8421709430404014e-14,0.055549206349204905
19.4625,0.0,0.0,0.04208571428571278
19.5375,0.0,1.354333333333443,0.028622222222219995
19.612499999999997,0.0,2.842170943040401e-14,0.060714285714290495
19.6875,0.0,1.3543333333334715,0.10422770562770017
19.762500000000003,0.09999999999999998,0.0,0.07518701298701058
