dis,phi,reg_phi,kdp,reg_kdp
21.3375,69.45,69.2653125,7.733333333333384,0.0
21.4125,70.61,69.2653125,-22.2000000000002,0.0
21.487499999999997,67.28,69.2653125,25.466666666666864,0.0
21.5625,71.1,69.2653125,-4.133333333333113,0.0
21.637500000000003,70.48,69.2653125,-0.8000000000000379,0.0
21.7125,70.36,69.2653125,-6.866666666666739,0.0
21.7875,69.33,69.2653125,18.266666666666804,0.0
21.862499999999997,72.07,69.2653125,-9.666666666666682,0.0
21.9375,70.62,69.2653125,-3.2666666666666035,0.0
22.012500000000003,70.13,69.2653125,0.3333333333334123,0.0
22.0875,70.18,69.2653125,-16.46666666666691,0.0
22.1625,67.71,69.2653125,2.800000000000038,0.0
22.237499999999997,68.13,69.2653125,13.60000000000017,0.0
22.3125,70.17,69.2653125,-3.533333333333207,0.0
22.387500000000003,69.64,69.2653125,1.6666666666666825,0.0
22.4625,69.89,69.2653125,-7.333333333333365,0.0
22.5375,68.79,69.2653125,-20.733333333333526,0.0
22.612499999999997,65.68,69.2653125,24.00000000000019,0.0
22.6875,69.28,69.2653125,-3.533333333333207,0.0
22.762500000000003,68.75,69.2653125,-7.400000000000066,0.0
22.8375,67.64,69.2653125,7.200000000000057,0.0
22.9125,68.72,69.2653125,13.733333333333478,0.0
22.987499999999997,70.78,69.2653125,-6.133333333333403,0.0
23.0625,69.86,69.2653125,4.666666666666509,0.0
23.137500000000003,70.56,69.2653125,-26.800000000000228,0.0
23.2125,66.54,69.2653125,11.066666666666748,0.0
23.2875,68.2,69.2653125,0.9999999999999526,0.0
23.362499999999997,68.35,69.2653125,-8.86666666666674,0.0
23.4375,67.02,69.2653125,17.599999999999337,2.631249999999923
23.512500000000003,69.66,69.66,7.000000000000047,1.1111111111111531
23.5875,70.71,69.82666666666667,-8.933333333333346,0.0
23.6625,69.37,69.82666666666667,4.400000000000019,0.0
23.737499999999997,70.03,69.82666666666667,5.333333333333365,0.0
23.8125,70.83,69.82666666666667,-7.733333333333017,0.0
23.887500000000003,69.67,69.82666666666667,-3.5333333333333745,0.0
23.9625,69.14,69.82666666666667,4.800000000000038,0.0
24.0375,69.86,69.82666666666667,-5.133333333333355,0.0
24.112499999999997,69.09,69.82666666666667,4.333333333333318,0.0
24.1875,69.74,69.82666666666667,18.266666666666033,9.422222222221727
24.262500000000003,72.48,71.23999999999998,-4.266666666666711,0.0
24.3375,71.84,71.23999999999998,-3.0000000000000475,0.0
24.4125,71.39,71.23999999999998,-6.933333333333441,0.0
24.487499999999997,70.35,71.23999999999998,-1.3999999999999715,0.0
24.5625,70.14,71.23999999999998,26.333333333332355,2.833333333333302
24.637500000000003,74.09,71.66499999999999,-3.1333333333333555,0.0
24.7125,73.62,71.66499999999999,-17.600000000000172,0.0
24.7875,70.98,71.66499999999999,4.133333333333308,0.0
24.862499999999997,71.6,71.66499999999999,-17.400000000000162,0.0
24.9375,68.99,71.66499999999999,11.466666666666224,0.0
25.012500000000003,70.71,71.66499999999999,17.80000000000018,6.741666666666757
25.0875,73.38,72.67625,5.200000000000057,0.0
25.1625,74.16,72.67625,-2.8666666666666445,0.0
25.237499999999997,73.73,72.67625,-14.200000000000198,0.0
25.3125,71.6,72.67625,-0.33333333333330173,0.0
25.387500000000003,71.55,72.67625,18.466666666666814,0.0
25.4625,74.32,72.67625,-10.600000000000028,0.0
25.5375,72.73,72.67625,-18.600000000000218,0.0
25.612499999999997,69.94,72.67625,22.333333333333602,0.996428571428595
25.6875,73.29,72.82571428571428,9.733333333332922,0.0
25.762500000000003,74.75,72.82571428571428,6.400000000000019,0.0
25.8375,75.71,72.82571428571428,-12.46666666666672,0.0
25.9125,73.84,72.82571428571428,8.000000000000094,0.0
25.987499999999997,75.04,72.82571428571428,-20.800000000000228,0.0
26.0625,71.92,72.82571428571428,7.466666666666414,0.0
26.137500000000003,73.04,72.82571428571428,19.33333333333346,0.0
26.2125,75.94,72.82571428571428,-36.466666666667,0.0
26.2875,70.47,72.82571428571428,9.33333333333346,0.0
26.362499999999997,71.87,72.82571428571428,-19.80000000000018,0.0
26.4375,68.9,72.82571428571428,32.26666666666537,0.0
26.512500000000003,73.74,72.82571428571428,-26.06666666666689,0.0
26.5875,69.83,72.82571428571428,9.266666666666758,0.0
26.6625,71.22,72.82571428571428,33.06666666666703,5.543215780036003
26.737499999999997,76.18,73.65719665271968,-3.733333333333384,0.0
26.8125,75.62,73.65719665271968,-17.33333333333273,0.0
26.887500000000003,73.02,73.65719665271968,11.733333333333478,0.0
26.9625,74.78,73.65719665271968,-12.333333333333412,0.0
27.0375,72.93,73.65719665271968,-10.93333333333344,0.0
27.112499999999997,71.29,73.65719665271968,25.066666666666844,0.0
27.1875,75.05,73.65719665271968,3.933333333333207,0.0
27.262500000000003,75.64,73.65719665271968,-12.333333333333412,0.0
27.3375,73.79,73.65719665271968,-7.400000000000066,0.0
27.4125,72.68,73.65719665271968,36.26666666666699,0.0
27.487499999999997,78.12,73.65719665271968,3.2666666666666635,0.0
27.5625,78.61,73.65719665271968,-76.19999999999706,0.0
27.637500000000003,67.18,73.65719665271968,1823.666666666684,0.0
27.7125,340.73,73.65719665271968,-1796.2666666666837,0.0
27.7875,71.29,73.65719665271968,39.06666666666703,0.0
27.862499999999997,77.15,73.65719665271968,-57.40000000000054,0.0
27.9375,68.54,73.65719665271968,46.5333333333315,0.0
28.012500000000003,75.52,73.65719665271968,60.00000000000057,0.0
28.0875,84.52,73.65719665271968,-233.06666666666882,0.0
28.1625,49.56,73.65719665271968,118.26666666666776,0.0
28.237499999999997,67.3,73.65719665271968,-4.333333333333318,0.0
28.3125,66.65,73.65719665271968,45.5333333333316,0.0
28.387500000000003,73.48,73.65719665271968,-14.533333333333516,0.0
28.4625,71.3,73.65719665271968,-3.5333333333333745,0.0
28.5375,70.77,73.65719665271968,16.06666666666689,0.0
