radial_idx	distance	zh	rho	zdr	phi	sd_zdr	sd_phi	zh_qc	rho_qc	zdr_qc	phi_qc	phi_reg	kdp_lsf
147.0000	6.2250	29.5000	0.9950	1.0625	31.7900	0.1694	0.8949	29.5000	0.9950	1.0625	31.7900	32.5222	0.1132
147.0000	6.3000	29.0000	0.9900	1.1250	32.0700	0.1851	1.0126	29.0000	0.9900	1.1250	32.0700	32.5222	0.1328
147.0000	6.3750	31.5000	0.9900	0.8125	31.0000	0.1851	0.9058	31.5000	0.9900	0.8125	31.0000	32.5222	0.1530
147.0000	6.4500	30.5000	0.9900	0.7500	33.6600	0.1886	0.9192	30.5000	0.9900	0.7500	33.6600	32.5222	0.1807
147.0000	6.5250	31.0000	0.9900	1.1875	30.6900	0.2379	0.9207	31.0000	0.9900	1.1875	30.6900	32.5222	0.2073
147.0000	6.6000	33.5000	0.9950	1.3125	32.2700	0.2406	1.1833	33.5000	0.9950	1.3125	32.2700	32.5222	0.2328
147.0000	6.6750	33.5000	0.9900	0.9375	31.2600	0.3023	1.1670	33.5000	0.9900	0.9375	31.2600	32.5222	0.2572
147.0000	6.7500	34.0000	0.9950	1.4375	31.9800	0.2339	0.8151	34.0000	0.9950	1.4375	31.9800	32.5222	0.2804
147.0000	6.8250	34.5000	0.9900	1.1875	29.6700	0.2283	1.2505	34.5000	0.9900	1.1875	29.6700	32.5222	0.3024
147.0000	6.9000	36.0000	0.9950	1.7500	31.7700	0.2287	1.2588	36.0000	0.9950	1.7500	31.7700	32.5222	0.1725
147.0000	6.9750	33.0000	0.9800	1.3750	31.2500	0.2618	1.2436	33.0000	0.9800	1.3750	31.2500	32.5222	0.3555
147.0000	7.0500	34.0000	0.9950	1.3125	34.1600	0.3219	1.2702	34.0000	0.9950	1.3125	34.1600	32.6875	0.3807
147.0000	7.1250	30.5000	0.9850	1.3750	32.4000	0.4861	1.7282	30.5000	0.9850	1.3750	32.4000	32.6875	0.4171
147.0000	7.2000	29.0000	0.9850	0.8125	31.6200	0.5258	1.6652	29.0000	0.9850	0.8125	31.6200	32.6875	0.4518
