dis,phi,reg_phi,smt_kdp
42.300000,64.080000,73.657197,0.000000
42.375000,78.030000,73.657197,0.000000
42.450000,73.980000,73.657197,0.000000
42.675000,62.770000,73.657197,0.000000
42.750000,79.690000,73.657197,0.000000
42.825000,105.730000,73.657197,0.000000
43.125000,80.080000,73.657197,0.000000
43.200000,74.620000,73.657197,0.000000
44.100000,76.460000,73.657197,0.000000
44.175000,68.580000,73.657197,0.000000
44.250000,64.300000,73.657197,0.000000
44.550000,80.100000,73.657197,0.000000
44.625000,66.110000,73.657197,0.000000
44.700000,77.580000,73.657197,0.000000
44.775000,77.140000,73.657197,0.000000
44.850000,72.200000,73.657197,0.000000
44.925000,71.740000,73.657197,0.000000
45.000000,68.110000,73.657197,0.000000
45.075000,59.340000,73.657197,0.000000
45.150000,77.070000,73.657197,0.000000
45.225000,52.370000,73.657197,0.000000
45.300000,86.340000,73.657197,0.000000
45.375000,78.720000,73.657197,0.000000
45.450000,69.740000,73.657197,0.000000
45.525000,77.680000,73.657197,0.000000
45.600000,71.700000,73.657197,0.000000
45.675000,69.540000,73.657197,0.000000
45.750000,97.180000,73.657197,0.000000
45.825000,86.470000,73.657197,0.000000
45.900000,73.150000,73.657197,0.000000
45.975000,54.140000,73.657197,0.000000
46.050000,66.510000,73.657197,0.000000
46.125000,63.680000,73.657197,0.000000
46.200000,51.460000,73.657197,0.000000
46.275000,68.720000,73.657197,0.000000
46.350000,65.730000,73.657197,0.000000
46.425000,70.430000,73.657197,0.000000
46.500000,69.000000,73.657197,0.000000
46.575000,68.640000,73.657197,0.000000
46.650000,85.340000,73.657197,0.000000
46.725000,64.520000,73.657197,0.000000
46.800000,76.420000,73.657197,0.000000
46.875000,65.950000,73.657197,0.000000
46.950000,76.560000,73.657197,0.000000
47.025000,74.980000,73.657197,0.000000
47.100000,77.280000,73.657197,0.000000
47.175000,82.110000,73.657197,0.000000
47.250000,81.880000,73.657197,0.000000
47.325000,61.020000,73.657197,0.000000
47.400000,64.180000,73.657197,0.000000
47.475000,84.730000,73.657197,0.000000
47.550000,69.040000,73.657197,0.000000
47.625000,83.310000,73.657197,0.000000
47.700000,65.310000,73.657197,0.000000
47.775000,71.020000,73.657197,0.000000
47.850000,77.450000,73.657197,0.000000
47.925000,68.960000,73.657197,0.000000
48.000000,63.080000,73.657197,0.000000
48.075000,85.230000,73.657197,0.000000
48.150000,72.070000,73.657197,0.000000
48.225000,65.070000,73.657197,0.000000
48.525000,85.340000,73.657197,0.000000
48.600000,95.780000,73.657197,0.000000
48.675000,73.490000,73.657197,0.000000
48.750000,83.140000,73.657197,0.000000
48.825000,83.310000,73.657197,0.000000
