dis,phdp,raw_kdp
61.2,NaN,NaN
61.275,NaN,NaN
61.35,NaN,NaN
61.425,NaN,NaN
61.5,NaN,NaN
61.575,NaN,NaN
61.65,NaN,NaN
61.725,NaN,NaN
61.8,NaN,NaN
61.875,NaN,NaN
61.95,NaN,NaN
62.025,NaN,NaN
62.1,NaN,NaN
62.175,NaN,NaN
62.25,NaN,NaN
62.325,NaN,NaN
62.4,NaN,NaN
62.475,68.29,NaN
62.55,84.2,0.1
62.625,64.86,0.1
62.7,67.91,0.1
62.775,69.82,0.1
62.85,73.0,0.1
62.925,79.18,0.1
63.0,81.34,0.1
63.075,72.94,0.1
63.15,74.1,0.1
63.225,80.56,0.1
63.3,70.39,NaN
63.375,NaN,NaN
63.45,77.8,NaN
63.525,63.29,NaN
63.6,66.06,NaN
63.675,116.67,NaN
63.75,76.03,NaN
63.825,54.84,NaN
63.9,60.47,NaN
63.975,83.36,NaN
64.05,83.81,NaN
64.125,81.5,NaN
64.2,72.18,NaN
64.275,81.65,0.1
64.35,74.59,0.1
64.425,84.7,0.1
64.5,88.15,NaN
64.575,89.08,NaN
64.65,76.25,NaN
64.725,79.1,0.1
64.8,72.03,0.1
64.875,77.31,0.1
64.95,68.82,0.1
65.025,76.28,0.1
65.1,80.39,0.1
65.175,83.48,0.1
65.25,87.06,0.1
65.325,78.84,0.1
65.4,78.88,0.1
65.475,78.65,0.1
65.55,75.49,0.1
65.625,87.98,0.1
65.7,64.71,0.1
65.775,83.72,0.1
65.85,72.24,0.1
65.925,81.44,0.1
66.0,77.3,0.1
66.075,71.42,0.1
66.15,64.69,0.1
66.225,65.44,0.1
66.3,56.52,0.1
66.375,78.46,NaN
66.45,72.52,NaN
66.525,73.06,NaN
66.6,81.09,NaN
66.675,68.83,NaN
66.75,76.1,NaN
66.825,78.03,NaN
66.9,81.78,NaN
66.975,71.75,NaN
67.05,84.4,NaN
67.125,84.59,NaN
67.2,69.33,0.1
67.275,82.28,0.1
67.35,74.9,0.1
67.425,70.55,0.1
67.5,77.08,0.1
67.575,67.59,0.1
67.65,69.39,0.1
67.725,77.03,0.1
67.8,76.1,0.1
67.875,65.96,0.1
67.95,64.88,0.1
68.025,76.77,0.1
68.1,74.38,0.1
68.175,81.08,0.1
68.25,77.55,0.1
68.325,74.23,0.1
68.4,67.54,0.1
68.475,77.8,0.1
68.55,71.12,0.1
68.625,65.62,0.1
68.7,84.25,0.1
68.775,70.81,0.1
68.85,82.75,0.1
68.925,75.92,0.1
69.0,71.37,0.2
69.075,78.29,0.2
69.15,81.16,0.2
69.225,79.62,0.2
69.3,70.08,0.2
69.375,76.38,0.2
69.45,79.98,0.2
69.525,77.0,0.2
69.6,74.69,0.2
69.675,72.7,0.2
69.75,75.47,0.2
69.825,77.9,0.2
69.9,84.4,0.2
69.975,77.45,0.2
70.05,81.25,0.2
70.125,76.2,0.2
70.2,72.26,0.2
70.275,68.32,0.2
70.35,74.44,0.2
70.425,78.4,0.3
70.5,78.0,0.3
70.575,73.82,0.3
70.65,81.14,0.3
70.725,77.91,0.3
70.8,71.0,0.3
70.875,78.9,0.3
70.95,75.3,0.3
71.025,78.43,0.3
71.1,80.17,0.3
71.175,74.19,0.3
71.25,76.06,0.3
71.325,80.05,0.3
71.4,74.75,0.3
71.475,75.77,0.3
71.55,78.02,0.3
71.625,87.66,0.3
71.7,75.7,0.3
71.775,73.16,0.3
71.85,77.4,0.3
71.925,83.76,0.3
72.0,79.1,0.4
72.075,81.67,0.4
72.15,80.91,0.4
72.225,77.0,0.4
72.3,81.52,0.4
72.375,81.86,0.4
72.45,79.59,0.4
72.525,86.24,0.4
72.6,81.48,0.4
72.675,86.84,0.4
72.75,80.98,0.4
72.825,83.02,0.4
72.9,71.59,0.4
72.975,75.77,0.4
73.05,73.6,0.3
73.125,82.43,0.3
73.2,74.73,0.3
73.275,82.67,0.3
73.35,81.15,0.3
73.425,83.47,0.3
73.5,66.88,0.3
73.575,82.78,0.3
73.65,79.35,0.3
73.725,82.87,0.3
73.8,75.29,0.3
73.875,82.21,0.3
73.95,82.15,0.3
74.025,80.62,0.3
74.1,85.88,0.3
74.175,92.68,0.3
74.25,80.0,0.3
74.325,81.38,0.3
74.4,78.07,0.3
74.475,80.41,0.3
74.55,80.85,0.3
74.625,89.1,0.3
74.7,73.41,0.3
74.775,74.75,0.3
74.85,79.58,0.3
74.925,83.59,0.3
75.0,79.0,0.3
75.075,82.27,0.3
75.15,78.33,0.3
75.225,91.0,0.3
75.3,77.93,0.3
75.375,89.8,0.3
75.45,70.64,0.3
75.525,81.56,0.3
75.6,76.85,0.3
75.675,78.65,0.3
75.75,77.59,0.3
75.825,80.45,0.3
75.9,78.53,0.3
75.975,75.54,0.3
76.05,77.7,0.3
76.125,75.11,0.3
76.2,80.47,0.3
76.275,90.64,0.3
76.35,97.13,0.3
76.425,69.86,0.3
76.5,73.64,0.3
76.575,87.55,0.3
76.65,86.75,0.3
76.725,81.24,0.3
76.8,75.81,0.3
76.875,87.53,0.3
76.95,93.81,0.3
77.025,81.88,0.3
77.1,80.37,0.3
77.175,77.54,0.3
77.25,82.48,0.3
77.325,88.71,0.3
77.4,73.01,0.3
77.475,77.75,0.3
77.55,84.78,0.3
77.625,79.92,0.3
77.7,85.35,0.3
77.775,78.11,0.3
77.85,81.93,0.3
77.925,85.2,0.3
78.0,82.62,0.3
78.075,81.13,0.3
78.15,70.19,0.3
78.225,80.24,0.3
78.3,85.75,0.3
78.375,81.62,0.3
78.45,82.74,0.3
