bin	dis	ZDR	SD_ZDR	PHIDP	SD_PHIDP
267	20.100000	-1.375000	1.308028	61.890000	25.822615
268	20.175000	0.750000	1.437583	14.980000	27.101497
269	20.250000	-0.437500	1.237179	81.960000	28.078017
270	20.325000	-0.812500	1.584966	75.890000	23.935346
271	20.400000	-1.312500	1.490242	23.310000	25.977828
272	20.475000	-0.562500	1.587884	68.970000	23.706859
273	20.550000	3.500000	1.722825	54.810000	22.270723
274	20.625000	-0.062500	1.849501	23.220000	19.950861
275	20.700000		1.808785		19.123854
276	20.775000		1.781250		15.795000
277	20.850000		0.000000		0.000000
278	20.925000				
279	21.000000				
280	21.075000				
281	21.150000				
282	21.225000				
283	21.300000				
284	21.375000				
285	21.450000				
286	21.525000				
287	21.600000				
288	21.675000				
289	21.750000				
290	21.825000				
291	21.900000				
292	21.975000				
293	22.050000				
294	22.125000				
295	22.200000				
296	22.275000				
297	22.350000				
298	22.425000				
299	22.500000				
300	22.575000				
301	22.650000				
302	22.725000				
303	22.800000				
304	22.875000				
305	22.950000				
306	23.025000				
307	23.100000				
308	23.175000				
309	23.250000				
310	23.325000				
311	23.400000				
312	23.475000				
313	23.550000				
314	23.625000				
315	23.700000				
316	23.775000				
317	23.850000				
318	23.925000				
319	24.000000				
320	24.075000				
321	24.150000				
322	24.225000				
323	24.300000				
324	24.375000				
325	24.450000				
326	24.525000				
327	24.600000				
328	24.675000				
329	24.750000				
330	24.825000				
331	24.900000				
332	24.975000				
333	25.050000				
334	25.125000				
335	25.200000				
336	25.275000				
337	25.350000				
338	25.425000				
339	25.500000				
340	25.575000				
341	25.650000				
342	25.725000				
343	25.800000				
344	25.875000				
345	25.950000				
346	26.025000				
347	26.100000				
348	26.175000				
349	26.250000				
350	26.325000				
351	26.400000				
352	26.475000				
353	26.550000				
354	26.625000				
355	26.700000				
356	26.775000				
357	26.850000				
358	26.925000				
359	27.000000				
360	27.075000				
361	27.150000				
362	27.225000				
363	27.300000				
364	27.375000				
365	27.450000				
366	27.525000				
367	27.600000				
368	27.675000				
369	27.750000				
370	27.825000				
371	27.900000				
372	27.975000				
373	28.050000				
374	28.125000		0.000000		0.000000
375	28.200000		0.812500		9.840000
376	28.275000		0.766032		8.787356
377	28.350000	1.062500	0.746738	63.840000	7.874530
378	28.425000	2.687500	0.785016	44.160000	7.238472
379	28.500000	1.062500	1.351600	46.450000	7.400230
380	28.575000	0.812500	1.260669	46.810000	7.216768
381	28.650000	0.375000	1.321187	46.140000	2.538883
382	28.725000	-1.875000	0.945754	40.540000	2.699119
383	28.800000	0.250000	0.904390	41.510000	2.567643
384	28.875000	-0.687500	0.991433	41.050000	2.135454
385	28.950000	0.562500	1.031859	41.100000	2.118609
386	29.025000	0.750000	0.639126	45.550000	2.100051
387	29.100000	1.375000	0.634243	41.800000	2.647724
388	29.175000	0.937500	0.351518	37.780000	2.775453
389	29.250000	1.187500	0.283192	41.000000	2.769734
390	29.325000	1.062500	0.465828	45.990000	3.070643
391	29.400000	1.687500	0.518319	39.560000	3.164679
392	29.475000	1.062500	0.518011	41.270000	3.148350
393	29.550000	0.062500	0.530180	35.490000	3.330521
394	29.625000	0.250000	0.527919	37.460000	2.212358
395	29.700000	0.875000	0.557017	42.290000	2.196003
396	29.775000	1.312500	0.615748	37.170000	1.953056
397	29.850000	0.750000	0.521539	39.050000	2.540242
398	29.925000	1.812500	0.367267	38.870000	2.551967
399	30.000000	1.625000	0.396493	38.120000	1.943064
400	30.075000	1.562500	0.408378	33.110000	3.307043
401	30.150000	1.500000	0.205163	39.050000	3.541493
402	30.225000	2.125000	0.427454	37.630000	3.539521
403	30.300000	1.937500	0.428943	45.300000	3.738341
404	30.375000	1.812500	0.546615	42.320000	3.185812
405	30.450000	0.687500	0.553859	39.440000	3.152330
406	30.525000	1.500000	0.485110	35.780000	2.888074
407	30.600000	0.625000	0.427454	43.810000	3.113611
408	30.675000	1.187500	0.348329	41.730000	3.022718
409	30.750000	1.625000	0.323653	42.470000	3.095531
410	30.825000	1.000000	0.311094	35.430000	2.741463
411	30.900000	1.125000	0.203211	41.160000	2.658856
412	30.975000	1.500000	0.196834	42.070000	2.739157
413	31.050000	1.375000	0.173591	44.510000	2.714610
414	31.125000	1.375000	0.152048	39.490000	1.667817
415	31.200000	1.312500	0.187287	42.930000	1.828747
416	31.275000	1.062500	0.236228	42.060000	1.952796
417	31.350000	1.125000	0.280363	39.550000	1.366736
418	31.425000	0.937500	0.245170	39.540000	1.761321
419	31.500000	0.687500	0.205551	39.260000	1.383410
420	31.575000	0.562500	0.292879	41.120000	1.067169
421	31.650000	1.125000	0.359590	37.330000	1.584365
422	31.725000	0.812500	0.576429	39.640000	3.275918
423	31.800000	1.500000	0.618104	40.250000	3.427699
424	31.875000	1.562500	0.658360	42.870000	3.747989
425	31.950000	-0.250000	0.729539	48.290000	3.414216
426	32.025000		0.840077		3.348008
427	32.100000		0.906250		2.710000
428	32.175000		0.000000		0.000000
429	32.250000				
430	32.325000				
431	32.400000				
432	32.475000				
433	32.550000				
434	32.625000				
435	32.700000				
436	32.775000				
437	32.850000				
438	32.925000				
439	33.000000				
440	33.075000				
441	33.150000				
442	33.225000				
443	33.300000				
444	33.375000				
445	33.450000				
446	33.525000				
447	33.600000				
448	33.675000				
449	33.750000		0.000000		0.000000
450	33.825000		1.625000		0.885000
451	33.900000		1.594261		10.266724
452	33.975000	3.187500	1.383055	52.900000	9.489274
453	34.050000	-0.062500	1.346291	51.130000	12.500175
454	34.125000	3.437500	1.528271	73.740000	13.021936
455	34.200000	2.375000	1.583406	51.600000	15.677163
456	34.275000	3.562500	1.563546	34.400000	16.598005
457	34.350000	0.062500	2.114394	35.920000	16.239228
458	34.425000	0.062500	2.084090	21.310000	10.005642
459	34.500000	0.125000	2.148430	27.070000	8.536441
460	34.575000	6.000000	2.044389	37.050000	8.529202
461	34.650000	3.000000	2.101793	48.670000	9.210454
462	34.725000	0.625000	2.128526	43.280000	7.361115
463	34.800000	1.312500	2.074009	34.990000	5.379356
464	34.875000		0.997828		5.626511
465	34.950000		0.613081		5.774440
466	35.025000		1.954562		12.245601
467	35.100000		1.974446		11.955992
468	35.175000	-0.187500	1.740488	29.210000	12.916638
469	35.250000	4.500000	1.558545	57.590000	11.591658
470	35.325000	1.125000	1.558545	49.660000	11.591658
471	35.400000	1.062500	1.558545	63.320000	11.591658
472	35.475000	1.812500	1.402425	47.580000	6.297755
473	35.550000		0.339781		6.981480
474	35.625000		1.881240		11.735034
475	35.700000		1.763588		6.940895
476	35.775000		1.051206		7.145406
477	35.850000	-2.500000	1.051206	34.620000	7.145406
478	35.925000	-0.562500	1.051206	50.630000	7.145406
479	36.000000	-0.062500	1.051206	48.750000	7.145406
480	36.075000		1.051206		7.145406
481	36.150000		0.235702		6.747167
482	36.225000		0.589256		5.667035
483	36.300000		0.625000		5.070000
484	36.375000	-0.062500	0.757486	35.470000	4.286524
485	36.450000	1.187500	0.766740	45.610000	6.330902
486	36.525000		0.820251		5.743834
487	36.600000	-0.625000	0.820251	38.180000	5.743834
488	36.675000	-0.750000	0.908403	27.910000	6.342123
489	36.750000	-1.187500	0.241163	39.200000	5.098773
490	36.825000		0.241163		5.098773
491	36.900000		0.218750		5.645000
492	36.975000		0.000000		0.000000
493	37.050000				
494	37.125000				
495	37.200000				
496	37.275000				
497	37.350000				
498	37.425000				
499	37.500000				
500	37.575000				
501	37.650000				
502	37.725000				
503	37.800000				
504	37.875000				
505	37.950000				
506	38.025000				
507	38.100000				
508	38.175000				
509	38.250000				
510	38.325000				
511	38.400000				
512	38.475000				
513	38.550000				
514	38.625000				
515	38.700000				
516	38.775000				
517	38.850000				
518	38.925000				
519	39.000000				
520	39.075000				
521	39.150000				
522	39.225000				
523	39.300000				
524	39.375000				
525	39.450000				
526	39.525000				
527	39.600000				
528	39.675000				
529	39.750000				
530	39.825000				
531	39.900000				
532	39.975000				
533	40.050000				
534	40.125000				
535	40.200000				
536	40.275000				
537	40.350000				
