dis_mid,azimuth_deg,raw_kdp_abs_diff,reg_kdp_abs_diff,kdp_lsf_abs_diff
17.9625,155.81999,NaN,NaN,NaN
18.0375,155.81999,NaN,0.0,0.0
18.112499999999997,155.81999,NaN,2.842170943040401e-14,1.0111482298397362e-15
18.1875,155.81999,NaN,5.684341886080802e-14,2.410724033499245e-15
18.262500000000003,155.81999,NaN,2.842170943040401e-14,3.421872263338981e-15
18.3375,155.81999,NaN,0.0,1.9761167121292483e-16
18.4125,155.81999,NaN,3.552713678800501e-14,1.9761167121292483e-16
18.487499999999997,155.81999,NaN,NaN,NaN
18.5625,155.81999,NaN,NaN,NaN
18.637500000000003,155.81999,NaN,2.842170943040401e-14,3.823186864762448e-16
18.7125,155.81999,NaN,0.0,3.823186864762448e-16
18.7875,155.81999,NaN,3.26405569239796e-14,0.0
18.862499999999997,155.81999,NaN,NaN,NaN
18.9375,155.81999,NaN,NaN,NaN
19.012500000000003,155.81999,NaN,NaN,NaN
19.0875,155.81999,NaN,NaN,NaN
19.1625,155.81999,NaN,NaN,NaN
19.237499999999997,155.81999,NaN,NaN,NaN
19.3125,155.81999,NaN,NaN,NaN
19.387500000000003,155.81999,NaN,NaN,NaN
19.4625,155.81999,NaN,NaN,NaN
19.5375,155.81999,NaN,NaN,NaN
19.612499999999997,155.81999,NaN,NaN,NaN
19.6875,155.81999,NaN,NaN,NaN
19.762500000000003,155.81999,NaN,NaN,NaN
19.8375,155.81999,NaN,NaN,NaN
19.9125,155.81999,NaN,NaN,NaN
19.987499999999997,155.81999,NaN,NaN,NaN
20.0625,155.81999,NaN,NaN,NaN
20.137500000000003,155.81999,NaN,4.3520742565306136e-14,1.7867220627054746e-16
20.2125,155.81999,NaN,NaN,NaN
20.2875,155.81999,NaN,NaN,NaN
20.362499999999997,155.81999,NaN,NaN,NaN
20.4375,155.81999,NaN,NaN,NaN
20.512500000000003,155.81999,NaN,NaN,NaN
20.5875,155.81999,NaN,NaN,NaN
20.6625,155.81999,NaN,NaN,NaN
20.737499999999997,155.81999,NaN,NaN,NaN
20.8125,155.81999,NaN,NaN,NaN
20.887500000000003,155.81999,NaN,0.0,1.7907349071717224e-16
20.9625,155.81999,NaN,2.90878432451791e-14,1.5137641367241149e-15
21.0375,155.81999,NaN,NaN,NaN
21.112499999999997,155.81999,NaN,NaN,NaN
21.1875,155.81999,NaN,NaN,NaN
21.262500000000003,155.81999,NaN,NaN,NaN
21.3375,155.81999,NaN,NaN,NaN
21.4125,155.81999,NaN,NaN,NaN
