dis,phdp,raw_kdp,azimuth_deg,reg_phi,reg_kdp,kdp_lsf
10.05,356.52,NaN,181.45999,44.79793196060881,2.842170943040401e-14,0.0
10.125,119.24,NaN,181.45999,44.79793196060881,0.0,1.46711778293389e-15
10.2,20.16,NaN,181.45999,44.79793196060881,-2.842170943040401e-14,8.295017049817441e-15
10.275,77.04,NaN,181.45999,44.79793196060881,2.842170943040401e-14,0.0
10.35,49.48,NaN,181.45999,44.79793196060881,3.552713678800501e-14,0.0
10.425,NaN,NaN,181.45999,NaN,NaN,NaN
10.5,NaN,NaN,181.45999,NaN,NaN,NaN
10.575,354.14,NaN,181.45999,44.79793196060881,2.842170943040401e-14,0.0
10.65,41.31,NaN,181.45999,44.79793196060881,2.842170943040401e-14,0.0
10.725,4.51,NaN,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
10.8,37.99,NaN,181.45999,44.79793196060881,2.842170943040401e-14,0.0
10.875,30.87,NaN,181.45999,44.79793196060881,0.0,0.0
10.95,55.54,NaN,181.45999,44.79793196060881,-2.842170943040401e-14,2.0131436051923897e-15
11.025,26.46,NaN,181.45999,44.79793196060881,2.842170943040401e-14,4.661320731598161e-15
11.1,346.19,NaN,181.45999,44.79793196060881,-2.842170943040401e-14,5.947563963727017e-15
11.175,10.86,NaN,181.45999,44.79793196060881,2.842170943040401e-14,7.22049909044293e-15
11.25,99.9,NaN,181.45999,44.79793196060881,0.0,0.0
11.325,55.82,NaN,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
11.4,75.9,NaN,181.45999,44.79793196060881,2.842170943040401e-14,0.0
11.475,52.44,NaN,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
11.55,58.33,NaN,181.45999,44.79793196060881,2.842170943040401e-14,0.0
11.625,100.77,NaN,181.45999,44.79793196060881,0.0,0.0
11.7,26.62,NaN,181.45999,44.79793196060881,-2.842170943040401e-14,6.269778629678717e-16
11.775,35.79,NaN,181.45999,44.79793196060881,2.842170943040401e-14,0.0
11.85,49.43,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,9.285711034271925e-15
11.925,52.27,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
12.0,43.79,0.0,181.45999,44.79793196060881,0.0,0.0
12.075,46.38,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
12.15,38.25,0.0,181.45999,44.79793196060881,2.842170943040401e-14,6.641506111226056e-15
12.225,38.47,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,5.400645847971234e-15
12.3,43.58,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
12.375,38.88,0.0,181.45999,44.79793196060881,0.0,6.2244333692216115e-15
12.45,57.71,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,1.1784689986353696e-15
12.525,42.41,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
12.6,27.7,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
12.675,36.89,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
12.75,34.37,0.0,181.45999,44.79793196060881,0.0,2.8768960759063885e-16
12.825,37.86,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
12.9,38.45,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
12.975,43.38,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
13.05,47.63,0.0,181.45999,44.79793196060881,2.842170943040401e-14,2.810801763790682e-16
13.125,28.87,0.0,181.45999,44.79793196060881,0.0,1.6768499109382874e-15
13.2,33.36,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
13.275,45.89,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
13.35,45.6,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
13.425,44.15,0.0,181.45999,44.79793196060881,2.842170943040401e-14,9.56316941675094e-15
13.5,43.03,0.0,181.45999,44.79793196060881,0.0,0.0
13.575,41.66,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
13.65,36.17,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
13.725,40.37,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,1.3363223057079107e-15
13.8,35.81,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
13.875,41.86,0.0,181.45999,44.79793196060881,0.0,0.0
13.95,38.15,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
14.025,36.68,0.0,181.45999,44.79793196060881,2.842170943040401e-14,1.830854603685863e-15
14.1,38.6,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,2.081281336860585e-15
14.175,37.53,0.0,181.45999,44.79793196060881,2.842170943040401e-14,3.88176568713491e-15
14.25,37.66,0.0,181.45999,44.79793196060881,0.0,0.0
14.325,36.46,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,2.5607598823452825e-16
14.4,37.46,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
14.475,37.52,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,3.2945079331144007e-15
14.55,40.11,0.0,181.45999,44.79793196060881,2.842170943040401e-14,3.2775343737982432e-15
14.625,39.32,0.0,181.45999,44.79793196060881,0.0,2.006606014448858e-15
14.7,38.89,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,1.2477332585103222e-15
14.775,37.52,0.0,181.45999,44.79793196060881,2.842170943040401e-14,7.448415839203208e-16
14.85,38.91,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,4.940543683941695e-16
14.925,41.29,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
15.0,39.23,0.0,181.45999,44.79793196060881,0.0,2.445580704276525e-16
15.075,40.06,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,4.866838538298806e-15
15.15,40.48,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
15.225,41.06,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,2.168510043623857e-15
15.3,41.1,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
15.375,39.78,0.0,181.45999,44.79793196060881,0.0,0.0
15.45,43.02,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,1.6620673908025674e-15
15.525,40.85,0.0,181.45999,44.79793196060881,2.842170943040401e-14,0.0
15.6,39.76,0.0,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
15.675,43.1,NaN,181.45999,44.79793196060881,2.842170943040401e-14,0.0
15.75,5.22,NaN,181.45999,44.79793196060881,0.0,0.0
15.825,38.44,NaN,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
15.9,45.72,NaN,181.45999,44.79793196060881,2.842170943040401e-14,1.3843264807627153e-15
15.975,42.87,NaN,181.45999,44.79793196060881,-2.842170943040401e-14,0.0
16.05,41.19,0.0,181.45999,44.79793196060881,2.842170943040401e-14,2.9713539835345427e-15
16.125,38.7,0.0,181.45999,44.79793196060881,0.0,0.0
16.2,37.05,0.0,181.45999,44.79793196060881,0.0,0.0
16.275,41.09,0.0,181.45999,44.79793196060881,0.0,6.76221172779406e-16
16.35,47.8,0.0,181.45999,44.79793196060881,0.0,0.0
16.425,41.84,0.0,181.45999,44.79793196060881,0.0,0.0
16.5,40.41,0.0,181.45999,44.79793196060881,0.0,0.0
16.575,34.83,0.0,181.45999,44.79793196060881,0.0,2.4346175135169917e-15
16.65,39.05,0.0,181.45999,44.79793196060881,0.0,4.4066453263846133e-16
16.725,31.56,0.0,181.45999,44.79793196060881,0.0,0.0
16.8,41.1,0.0,181.45999,44.79793196060881,0.0,0.0
16.875,40.61,0.0,181.45999,44.79793196060881,0.0,3.2609338936117235e-15
16.95,36.54,0.0,181.45999,44.79793196060881,0.0,0.0
17.025,43.7,NaN,181.45999,44.79793196060881,0.0,2.1548090992149092e-15
17.1,92.76,NaN,181.45999,44.79793196060881,0.0,0.0
17.175,52.8,NaN,181.45999,44.79793196060881,0.0,0.0
17.25,38.57,NaN,181.45999,44.79793196060881,0.0,0.0
17.325,49.5,NaN,181.45999,44.79793196060881,0.0,0.0
17.4,45.14,NaN,181.45999,44.79793196060881,0.0,2.1083855253818933e-16
17.475,40.13,NaN,181.45999,44.79793196060881,0.0,4.1986795548974647e-16
17.55,32.16,NaN,181.45999,44.79793196060881,0.0,0.0
17.625,50.88,NaN,181.45999,44.79793196060881,0.0,1.4570353832655697e-15
17.7,44.78,NaN,181.45999,44.79793196060881,0.0,5.1816556336484855e-15
17.775,47.94,0.0,181.45999,44.79793196060881,0.0,0.0
17.85,46.15,0.0,181.45999,44.79793196060881,0.0,0.0
17.925,40.39,0.0,181.45999,44.79793196060881,0.0,0.0
18.0,41.06,0.0,181.45999,44.79793196060881,0.0,3.2610066698991176e-15
18.075,39.97,0.0,181.45999,44.79793196060881,0.0,2.0296749239544323e-15
18.15,35.31,0.0,181.45999,44.79793196060881,0.0,2.8298067216711647e-15
18.225,43.52,0.0,181.45999,44.79793196060881,0.0,0.0
18.3,38.81,0.0,181.45999,44.79793196060881,0.0,1.4033094424335734e-15
18.375,36.36,0.0,181.45999,44.79793196060881,0.0,0.0
