dis,phi,reg_phi,kdp,reg_kdp,kdp_lsf
16.5375,68.55,67.29119999999998,-7.666666666666682,0.0,2.2084744077860433e-14
16.612499999999997,67.4,67.29119999999998,2.8666666666666445,0.0,-1.842864219879105e-14
16.6875,67.83,67.29119999999998,12.200000000000104,0.0,4.345063471722019e-14
16.762499999999996,69.66,67.29119999999998,0.8666666666667393,0.0,-2.8196660356665028e-14
16.8375,69.79,67.29119999999998,0.5333333333333018,0.0,3.955469342037071e-14
16.9125,69.87,67.29119999999998,-15.933333333333488,0.0,6.351499743238804e-16
16.987499999999997,67.48,67.29119999999998,23.73333333333357,0.0,-8.852843989996317e-15
17.0625,71.04,67.29119999999998,-17.933333333333582,0.0,-1.353568344169909e-14
17.137499999999996,68.35,67.29119999999998,16.333333333333506,0.0,1.692391503705846e-14
17.2125,70.8,67.29119999999998,-30.866666666665463,0.0,2.3403025138921755e-14
17.2875,66.17,67.29119999999998,11.266666666666758,0.0,-1.8019827622929304e-14
17.362499999999997,67.86,67.29119999999998,18.133333333333496,0.0,-1.0208375906037574e-14
17.4375,70.58,67.29119999999998,-27.266666666666943,0.0,-1.940490141288613e-14
17.512499999999996,66.49,67.29119999999998,-2.0,0.0,-2.300214645194479e-14
17.5875,66.19,67.29119999999998,2.199999999999905,0.0,-2.046096332636077e-14
17.6625,66.52,67.29119999999998,7.733333333333478,0.0,-1.7029087252423456e-14
17.737499999999997,67.68,67.29119999999998,6.46666666666672,0.0,-3.3308565351168166e-15
17.8125,68.65,67.29119999999998,-8.93333333333344,0.0,3.618363133745306e-15
17.887499999999996,67.31,67.29119999999998,-23.2666666666669,0.0,1.6514633982370318e-14
17.9625,63.82,67.29119999999998,13.73333333333278,0.0,1.4053584654567452e-14
18.0375,65.88,67.29119999999998,4.733333333333431,0.0,2.9776923064714765e-15
18.1125,66.59,67.29119999999998,-5.266666666666758,0.0,8.896089494910866e-15
18.1875,65.8,67.29119999999998,-9.999999999999622,0.0,-2.0081322737513766e-14
18.262500000000003,64.3,67.29119999999998,26.06666666666689,0.0,4.11741210882784e-15
18.3375,68.21,67.29119999999998,-23.53333333333347,0.0,-2.9582705982923027e-14
18.4125,64.68,67.29119999999998,47.93333333333377,0.0,-1.1084793452108256e-14
18.4875,71.87,67.29119999999998,-33.93333333333368,0.0,-2.1498611802052774e-14
18.5625,66.78,67.29119999999998,-36.26666666666528,0.0,1.0995225236186282e-14
18.637500000000003,61.34,67.29119999999998,12.200000000000104,0.0,-2.0172861079050895e-15
18.7125,63.17,67.29119999999998,-2.400000000000019,0.0,-2.784178962842375e-14
18.7875,62.81,67.29119999999998,36.3333333333337,0.0,-2.0869459645934143e-14
18.8625,68.26,67.29119999999998,-30.53333333333366,0.0,-1.1674601133382037e-14
18.9375,63.68,67.29119999999998,12.59999999999948,0.0,-3.8004910034643333e-14
19.012500000000003,65.57,67.29119999999998,-7.666666666666682,0.0,7.0624997452805575e-15
19.0875,64.42,67.29119999999998,10.400000000000114,0.0,9.004481244385659e-15
19.1625,65.98,67.29119999999998,11.400000000000066,0.0,-1.2052417351765854e-14
19.2375,67.69,67.29119999999998,17.000000000000142,0.0,5.02552977155687e-15
19.3125,70.24,67.29119999999998,-30.666666666665467,0.0,1.9189721600905124e-14
19.387500000000003,65.64,67.29119999999998,16.466666666666814,0.0,-1.5791057909148748e-14
19.4625,68.11,67.29119999999998,-35.000000000000334,0.0,0.2902142857142936
19.5375,62.86,67.29119999999998,18.933333333333536,0.0,0.4836904761904825
19.6125,65.7,67.29119999999998,19.466666666666864,2.708666666666893,0.580428571428643
19.6875,68.62,67.6975,-6.866666666666414,0.0,0.5804285714286139
19.762500000000003,67.59,67.6975,-4.533333333333422,0.0,0.5973809523809853
19.8375,66.91,67.6975,5.066666666666749,0.0,0.47969841269842106
19.9125,67.67,67.6975,4.866666666666739,1.0611111111111036,0.22738095238094733
19.9875,68.4,67.85666666666667,-1.466666666666673,0.0,0.42261904761902935
20.0625,68.18,67.85666666666667,-7.933333333333112,0.0,0.7869588744588599
20.137500000000003,66.99,67.85666666666667,7.600000000000076,1.8222222222221929,0.9576298701298342
20.2125,68.13,68.13,11.200000000000152,2.5393939393940226,0.9346320346320601
20.2875,69.81,68.5109090909091,-8.333333333333412,0.0,0.8695526695526672
20.3625,68.56,68.5109090909091,-3.9333333333333935,0.0,0.6487012987013436
20.4375,67.97,68.5109090909091,15.133333333332732,0.0,0.2720779220779124
20.512500000000003,70.24,68.5109090909091,-15.266666666666758,0.0,-2.539877133619912e-14
20.5875,67.95,68.5109090909091,-0.533333333333327,0.0,-2.400180303928884e-14
20.6625,67.87,68.5109090909091,-3.733333333333384,0.0,6.2386139364964e-15
20.7375,67.31,68.5109090909091,7.866666666666692,0.0,1.5540130800052258e-14
20.8125,68.49,68.5109090909091,2.3999999999999053,0.0,1.1096962157260121e-14
20.887500000000003,68.85,68.5109090909091,4.600000000000123,0.0,0.5388595779220762
20.9625,69.54,68.5109090909091,-16.733333333333526,0.0,0.8980992965367735
21.0375,67.03,68.5109090909091,41.000000000000426,5.029356060606034,1.0777191558441448
21.1125,73.18,69.2653125,-34.20000000000039,0.0,1.077719155844141
21.1875,68.05,69.2653125,-0.7333333333333018,0.0,0.8980992965367975
21.262500000000003,67.94,69.2653125,10.066666666666796,0.0,0.538859577922098
21.3375,69.45,69.2653125,7.733333333333384,0.0,-2.5171953126098895e-15
21.4125,70.61,69.2653125,-22.2000000000002,0.0,8.277650534437316e-15
21.4875,67.28,69.2653125,25.466666666666864,0.0,1.4997744766947783e-14
21.5625,71.1,69.2653125,-4.133333333333113,0.0,-2.5158395065381056e-14
21.637500000000003,70.48,69.2653125,-0.8000000000000379,0.0,-2.680880270365299e-14
21.7125,70.36,69.2653125,-6.866666666666739,0.0,-2.15213860092249e-14
21.7875,69.33,69.2653125,18.266666666666804,0.0,0.0
21.8625,72.07,69.2653125,-9.666666666666682,0.0,-7.861603085462519e-15
21.9375,70.62,69.2653125,-3.2666666666666035,0.0,1.8852312008921727e-14
22.012500000000003,70.13,69.2653125,0.3333333333334123,0.0,-1.854408117877131e-14
22.0875,70.18,69.2653125,-16.46666666666691,0.0,-2.2128704768127974e-14
22.1625,67.71,69.2653125,2.800000000000038,0.0,-9.936337641632024e-15
22.2375,68.13,69.2653125,13.60000000000017,0.0,-3.864517880573035e-15
22.3125,70.17,69.2653125,-3.533333333333207,0.0,1.805403980879707e-14
22.387500000000003,69.64,69.2653125,1.6666666666666825,0.0,-9.356651191166365e-15
22.4625,69.89,69.2653125,-7.333333333333365,0.0,1.4585900321693076e-14
22.5375,68.79,69.2653125,-20.73333333333353,0.0,2.5976600719669922e-14
22.6125,65.68,69.2653125,24.00000000000019,0.0,1.3301513868743387e-14
22.6875,69.28,69.2653125,-3.533333333333207,0.0,-1.6335187954724677e-14
22.762500000000003,68.75,69.2653125,-7.400000000000066,0.0,3.3034658899927046e-15
22.8375,67.64,69.2653125,7.200000000000057,0.0,-1.128897441637882e-14
22.9125,68.72,69.2653125,13.733333333333478,0.0,9.14226913401645e-15
22.9875,70.78,69.2653125,-6.133333333333403,0.0,-6.542266372975516e-15
23.0625,69.86,69.2653125,4.666666666666509,0.0,8.849917186934517e-15
23.137500000000003,70.56,69.2653125,-26.800000000000228,0.0,-3.7142027228868576e-15
23.2125,66.54,69.2653125,11.066666666666748,0.0,2.3138766061243736e-15
23.2875,68.2,69.2653125,0.9999999999999526,0.0,0.28191964285715
23.3625,68.35,69.2653125,-8.86666666666674,0.0,0.5889136904762182
23.4375,67.02,69.2653125,17.599999999999337,2.631249999999923,0.7622519841269858
23.512500000000003,69.66,69.66,7.000000000000047,1.1111111111111531,0.8019345238095551
23.5875,70.71,69.82666666666667,-8.933333333333346,0.0,0.7079613095238153
23.6625,69.37,69.82666666666667,4.400000000000019,0.0,0.48033234126984536
23.7375,70.03,69.82666666666667,5.333333333333365,0.0,0.11904761904762315
23.8125,70.83,69.82666666666667,-7.733333333333017,0.0,-3.6089224747188096e-15
23.887500000000003,69.67,69.82666666666667,-3.5333333333333745,0.0,8.993979813549504e-16
23.9625,69.14,69.82666666666667,4.800000000000038,0.0,6.948518828721825e-15
24.0375,69.86,69.82666666666667,-5.133333333333355,0.0,1.0095238095238463
24.1125,69.09,69.82666666666667,4.333333333333318,0.0,1.6825396825396914
24.1875,69.74,69.82666666666667,18.266666666666037,9.422222222221729,2.0190476190476376
24.262500000000003,72.48,71.23999999999998,-4.266666666666711,0.0,2.019047619047627
24.3375,71.84,71.23999999999998,-3.0000000000000475,0.0,1.6825396825396628
24.4125,71.39,71.23999999999998,-6.933333333333441,0.0,1.313095238095188
24.4875,70.35,71.23999999999998,-1.3999999999999715,0.0,0.5059523809523807
24.5625,70.14,71.23999999999998,26.333333333332355,2.833333333333302,0.6071428571428911
24.637500000000003,74.09,71.66499999999999,-3.1333333333333555,0.0,0.6071428571428805
24.7125,73.62,71.66499999999999,-17.600000000000172,0.0,0.5059523809523764
24.7875,70.98,71.66499999999999,4.133333333333308,0.0,0.30357142857143604
24.8625,71.6,71.66499999999999,-17.400000000000162,0.0,0.7223214285714251
24.9375,68.99,71.66499999999999,11.466666666666224,0.0,1.203869047619096
25.012500000000003,70.71,71.66499999999999,17.80000000000018,6.741666666666757,1.4446428571428627
25.0875,73.38,72.67625,5.200000000000057,0.0,1.444642857142816
25.1625,74.16,72.67625,-2.8666666666666445,0.0,1.203869047619058
25.2375,73.73,72.67625,-14.200000000000198,0.0,0.7223214285714704
25.3125,71.6,72.67625,-0.3333333333333017,0.0,-9.124245649118774e-15
25.387500000000003,71.55,72.67625,18.46666666666681,0.0,-6.3469476669859194e-15
25.4625,74.32,72.67625,-10.600000000000028,0.0,0.1067602040816538
